No,チャプター,質問,解答
1,古代オリエント,ラテン語で日の昇るところという意味のエジプトから西アジアにかけての地域のことを何と言うか,オリエント
2,古代オリエント,川の間地域という意味でティグリス・ユーフラテス川の流れる地域を何というか,メソポタミア
3,古代オリエント,民族系統不明で紀元前3000年くらいにメソポタミア南部にもっとも早く都市国家を作った民族を何と言うか,シュメール人
4,古代オリエント,シュメール人が粘土板に刻んで使用した文字を何というか,楔形文字
5,古代オリエント,紀元前18世紀頃メソポタミアを征服しバビロン第一王朝に最盛期をもたらした六代目の王は誰か,ハンムラビ王
6,古代オリエント,紀元前18世紀にアナトリアを支配し世界最古の鉄製武器と戦車によってバビロン第一王朝を滅ぼした民族を何と言うか,ヒッタイト
7,古代オリエント,アトンを唯一神とする宗教改革を断行し自らをアクエンアテンと称してテル・エル・アマルナに遷都したエジプト新王国時代の王を何と言うか,アメンホテプ4世
8,古代オリエント,古代エジプト人がミイラと共に副葬した死後の世界への案内書を何というか,死者の書
9,古代オリエント,古代エジプト人がナイル川の氾濫をもとに作成した暦を何というか,太陽暦
10,古代オリエント,古代エジプト人が使用した象形文字で碑文墓などに刻まれた最初のエジプト文字を何と言うか,神聖文字
11,古代オリエント,神聖文字解読のきっかけとなったナポレオンのエジプト遠征中に発見された石碑を何というか,ロゼッタストーン
12,古代オリエント,紀元前13世紀末から紀元前12世紀初めに東地中海全域で活動しヒッタイトを滅ぼしてエジプトを衰退させた諸民族の集団を何というか,海の民
13,古代オリエント,古代オリエントでシリアに多くの都市国家を作りダマスクスを中心に陸上の中継貿易に活躍したセム系遊牧民を何というか,アラム人
14,古代オリエント,紀元前12世紀以降地中海貿易を独占しシドン・ティルスなどの都市国家を建設したセム系民族を何と言うか,フェニキア人
15,古代オリエント,紀元前1500年頃パレスチナに定住したセム系の遊牧民を何と言うか,ヘブライ人
16,古代オリエント,紀元前13世紀頃ヘブライ人はエジプト新王国からの脱出通称出エジプトでパレスチナに移ったその時の指導者は誰か,モーセ
17,古代オリエント,ユダ王国が新バビロニアに征服されて住民の多くがバビロンに連れ去られた出来事を何と言うか,バビロン捕囚
18,古代オリエント,アッシリア王国が滅びた後4つの王国が分裂したそのうち最も強勢であったセム語系民族の国はなんというか,新バビロニア
19,古代オリエント,紀元前6世紀にオリエントを再統一したペルシア人の王朝を何というか,アケメネス朝
20,古代オリエント,ペルシアが各州においたサトラップを監視するため中央から派遣した観察官を何と言うか,王の目・王の耳
21,古代オリエント,紀元前7世紀頃に生まれた世界を善と悪の神の対立と捉え火の崇拝を重視して拝火教とも呼ばれたペルシア人の宗教を何と言うか,ゾロアスター教
22,古代オリエント,紀元前3世紀にイラン系遊牧民がカスピ海東南に建てた国を何と言うか,パルティア
23,古代オリエント,パルティアを倒しイラン系の農耕民が建てた王朝を何と言うか,ササン朝
24,古代オリエント,中央アジアから進入した遊牧騎馬民族エフタルをトルコ系遊牧民の突厥と同盟して滅ぼした王は誰か,ホスロー1世
25,古代オリエント,3世紀前半ササン朝でゾロアスター教や仏教キリスト教の要素を融合して成立した宗教を何と言うか,マニ教
26,古代オリエント,アッシリアが滅亡した年号は何か,前612年
27,古代オリエント,アケメネス朝ペルシアが全オリエントを統一した年号は何か,前525年
28,古代オリエント,キュロス2世の活躍でバビロン捕囚が終結した年号は何か,前538年
29,古代オリエント,ササン朝ペルシアが成立した年号は何か,224年
30,古代オリエント,エフタルが滅亡したのは何世紀か,6世紀
31,ギリシア・ローマ,紀元前20世紀から紀元前12世紀頃にエーゲ海を中心に栄えたエーゲ文明で初めに栄えた文明を何というか,クレタ文明
32,ギリシア・ローマ,紀元前16世紀頃からギリシア本土でクレタやオリエントの影響を受けて栄えた文明を何と言うか,ミケーネ文明
33,ギリシア・ローマ,ギリシア人が紀元前8世紀頃から集住して形成された都市国家を何と言うか,ポリス
34,ギリシア・ローマ,紀元前508年に部族制を解体するなどアテネ民主制の基礎を築いた人物は誰か,クレイステネス
35,ギリシア・ローマ,紀元前500年から始まったアケメネス朝とギリシアのポリスの戦争を何というか,ペルシア戦争
36,ギリシア・ローマ,紀元前480年にアテネ海軍がペルシア海軍に大勝利を収めたサラミスの海戦のアテネ側の指導者は誰か,テミストクレス
37,ギリシア・ローマ,紀元前5世紀頃のアテネ民主政治の全盛期の指導者は誰か,ペリクレス
38,ギリシア・ローマ,アテネを中心とする軍事同盟とスパルタを中心とする軍事同盟のギリシアの覇権を巡る戦いを何というか,ペロポネソス戦争
39,ギリシア・ローマ,ギリシアの覇権はアテネからスパルタに移ったがさらに紀元前4世紀頃になると一時中部ギリシアのアイオリス人のポリスに移ったそのアイオリス人のポリスはどこか,テーベ
40,ギリシア・ローマ,フィリッポス2世を王とするマケドニア王国がアテネ・テーベの連合軍を撃破し全ギリシアを制圧した戦いを何というか,カイロネイアの戦い
41,ギリシア・ローマ,フィリッポス2世の子で東方遠征によって大帝国を築いた王は誰か,アレクサンドロス大王
42,ギリシア・ローマ,紀元前334年のアレクサンドロス大王の東方遠征からギリシア人が盛んに東方に移住したためギリシア文化と東方の要素が融合して新しい文化が生まれたこの文化を何と言うか,ヘレニズム文化
43,ギリシア・ローマ,トスカーナ地方を中心に定住していた系統不明の先住民族を何と言うか,エトルリア人
44,ギリシア・ローマ,ローマは紀元前3世紀前半頃にイタリア半島を統一したが征服した都市が団結して反抗するのを恐れ各都市の待遇に差別を設けたこのような統治の仕方を何と言うか,分割統治
45,ギリシア・ローマ,3回にわたるローマとカルタゴの戦いを何と言うか,ポエニ戦争
46,ギリシア・ローマ,古代ローマでは奴隷を使用してオリーブやブドウを生産する大土地経営が行われたがこれを何というか,ラティフンディア
47,ギリシア・ローマ,紀元前2世紀頃に大土地所有者の土地を没収して貧民に分け自作農を多数作ろうとした改革を行った兄弟は誰か,グラックス兄弟
48,ギリシア・ローマ,紀元前60年にポンペイウス、クラッスス、カエサルの3人の実力者が手を組んでローマの政治を左右したがこの政治を何と言うか,第1回三頭政治
49,ギリシア・ローマ,カエサルの養子であるオクタヴィアヌスが紀元前27年に元老院から受けた尊厳者の意味の称号を何というか,アウグストゥス
50,ギリシア・ローマ,オクタヴィアヌスから五賢帝時代に至るまでのローマ帝国の最盛期を何というか,パックス・ロマーナ
51,ギリシア・ローマ,ディオクレティアヌス帝は皇帝崇拝を強化してオリエント風の専制政治を行ったがこれ以降の時代のことを何と言うか,ドミナトゥスの時代
52,ギリシア・ローマ,395年にローマ帝国を東西に分割して2人の子に分け与えた皇帝は誰か,テオドシウス帝
53,ギリシア・ローマ,ギリシア語の共通語であるコイネーで書かれたキリスト教の聖典を何と言うか,新約聖書
54,ギリシア・ローマ,313年にコンスタティヌス帝がキリスト教を公認するために発した勅令をなんというか,ミラノ勅令
55,ギリシア・ローマ,325年コンスタティヌス帝はキリスト教会初の公会議を開いたがこれを何と言うか,ニケーア公会議
56,ギリシア・ローマ,6世紀前半に東ローマ帝国のユスティニアヌス帝は古代ローマ法の集大成を行わせたがこれをなんというか,ローマ法大全
57,ギリシア・ローマ,ドラコンの成文法が成立した年号は何か,前621年
58,ギリシア・ローマ,ペルシア戦争が始まった年号は何か,前500年
59,ギリシア・ローマ,マラトンの戦いの年号は何か,前490年
60,ギリシア・ローマ,ペロポネソス戦争が始まった年号は何か,前431年
61,ギリシア・ローマ,ローマの五賢帝の時代は何年から何年までか,96年から180年まで
62,古代インドと東南アジア,インダス川を中心として栄えた都市文明を何と言うか,インダス文明
63,古代インドと東南アジア,インダス文明の代表的遺跡でインダス川下流のシンド地方にある遺跡は何か,モヘンジョダロ
64,古代インドと東南アジア,インド先住民族の一つでカイバル峠を越えてインドに侵入した人々を何と言うか,アーリヤ人
65,古代インドと東南アジア,インドではバラモン教の成立と共に生まれたバラモン・クシャトリア・バイシャ・シュードラという4つの基本的な身分の区別のことを何と言うか,ヴァルナ
66,古代インドと東南アジア,ヴァルナ制とジャティが結びついたインド独自の身分制度を何と言うか,カースト制度
67,古代インドと東南アジア,バラモン教の祭祀至上主義から転換して内面の思索を重視する世界最古の哲学を何と言うか,ウパニシャッド哲学
68,古代インドと東南アジア,仏教を開いた人物は誰か,ガウタマ・シッダールタ
69,古代インドと東南アジア,ジャイナ教を開いた人物は誰か,ヴァルダマーナ
70,古代インドと東南アジア,アレクサンドロス大王がインドに侵入した直後にできたインド最初の統一王朝は何か,マウリヤ朝
71,古代インドと東南アジア,マウリヤ朝第3代の王で初めてインドを統一した王は誰か,アショーカ王
72,古代インドと東南アジア,1世紀の中頃アフガニスタンに王朝を建て西北インドに侵入した王朝は何か,クシャーナ朝
73,古代インドと東南アジア,クシャーナ朝の最盛期の王は誰か,カニシカ王
74,古代インドと東南アジア,カニシカ王の時代に最盛期を迎えたギリシア式の仏教美術を何と言うか,ガンダーラ美術
75,古代インドと東南アジア,クシャーナ朝の仏教で他の仏教と違い万人の救済を目指した仏教を何と言うか,大乗仏教
76,古代インドと東南アジア,4世紀頃にマウリヤ朝・西北インドに存在したクシャーナ朝に次いで起こった北インド全域を支配する統一王朝を何というか,グプタ朝
77,古代インドと東南アジア,バラタ族同士の戦闘を扱った古代インドの二大叙事詩の一つを何というか,マハーバーラタ
78,古代インドと東南アジア,コーサラ国の王子ラーマ王子の活躍を描いた古代インドの二大叙事詩の一つをなんというか,ラーマーヤナ
79,古代インドと東南アジア,紀元前後頃に成立しヒンドゥー教の生活指導書として尊ばれてきた法典を何と言うか,マヌ法典
80,古代インドと東南アジア,グプタ様式の壁画で名高いインド西部の石窟寺院を何と言うか,アジャンター石窟寺院
81,古代インドと東南アジア,グプタ朝時代に民間信仰や慣習を吸収して成立した宗教を何というか,ヒンドゥー教
82,古代インドと東南アジア,古代インドの文章語をなんというか,サンスクリット語
83,古代インドと東南アジア,ヴァルダナ朝の王ハルシャ・ヴァルダナの時代にインドを訪れ大唐西域記を表した唐僧は誰か,玄奘
84,古代インドと東南アジア,グプタ朝を衰退させた中央アジアの遊牧民は何か,エフタル
85,古代インドと東南アジア,東南アジア最古とされる王朝で1世紀末にメコン川下流域に建てられた国を何と言うか,扶南
86,古代インドと東南アジア,2世紀にチャム人がベトナム中部に建てた国を何と言うか,チャンパー
87,古代インドと東南アジア,アンコール朝の都に建てられた寺院で代表的な遺跡を何というか,アンコール・ワット
88,古代インドと東南アジア,7世紀にスマトラ島のパレンバンを中心に建てられ海上貿易で栄えた国を何と言うか,シュリーヴィジャヤ王国
89,古代インドと東南アジア,8世紀にジャワ島に起こり大乗仏教が盛んであった国は何か,シャイレーンドラ朝
90,古代インドと東南アジア,シャイレーンドラ朝の代表的遺跡は何か,ボロブドゥール
91,古代中国と南北アメリカ,素焼きの表面を研磨して赤黒白などで模様を施した土器を何というか,彩文土器
92,古代中国と南北アメリカ,黒色で薄手の良質な磨研土器を何というか,黒陶
93,古代中国と南北アメリカ,現在確認できる中国最古の王朝を何というか,商（殷）
94,古代中国と南北アメリカ,商に代わった王朝を何と言うか,周
95,古代中国と南北アメリカ,周の王朝が行った統治制度を何というか,封建制度
96,古代中国と南北アメリカ,周が紀元前770年に異民族の侵入を受けて東方に都を移してから秦の始皇帝が天下を統一する紀元前221年までを何と言うか,春秋・戦国時代
97,古代中国と南北アメリカ,春秋時代中期以降に農業生産力を高めた生産用具は何か,鉄製農具
98,古代中国と南北アメリカ,鉄製農具とともに農業生産力を高めた牛を使用する農法を何と言うか,牛耕
99,古代中国と南北アメリカ,戦国時代で流通した斉・燕の国で使用された貨幣、韓・魏・趙の国で使用された貨幣はそれぞれ何というか,刀銭・布銭
100,古代中国と南北アメリカ,孔子を祖とする学派を何というか,儒家
101,古代中国と南北アメリカ,儒家の思想を人為的な虚礼を説くものだとして退け無為自然を説いた学派を何と言うか,道家
102,古代中国と南北アメリカ,君主の信賞必罰や法治主義を主張した法家の代表的人物の一人を答えよ,韓非
103,古代中国と南北アメリカ,紀元前221年に中国最初の統一国家が成立したがこの国を何と言うか,秦
104,古代中国と南北アメリカ,秦王の政は天下を統一しなんとなのったか,始皇帝
105,古代中国と南北アメリカ,始皇帝によって実施された全国に郡や県を置き皇帝が中央から派遣した官僚に治めさせるような統治制度を何というか,郡県制
106,古代中国と南北アメリカ,秦末の農民反乱を何というか,陳勝・呉広の乱
107,古代中国と南北アメリカ,農民出身でその軍勢を破って中国を再統一した人物は誰か,劉邦
108,古代中国と南北アメリカ,中央集権体制を確立した前漢第7代の皇帝は誰か,武帝
109,古代中国と南北アメリカ,武帝は匈奴を挟み撃ちにするために大月氏に使者を送ったがこの使者は誰か,張騫
110,古代中国と南北アメリカ,武帝は度重なる外征の結果財政難になったために専売を行ったがこの専売を行った3つの商品を挙げよ,塩・鉄・酒
111,古代中国と南北アメリカ,去勢された男子であるが皇帝に仕えて秘書の役割を果たした人々を何と言うか,宦官
112,古代中国と南北アメリカ,前漢の皇帝の外戚で前漢を奪い新王朝を建てたのは誰か,王莽
113,古代中国と南北アメリカ,洛陽を都とした王朝である後漢の初代皇帝は誰か,光武帝（劉秀）
114,古代中国と南北アメリカ,班超の部下で紀元1世紀にカスピ海へと50余りの国を服属させた人物は誰か,甘英
115,古代中国と南北アメリカ,184年に後漢滅亡のきっかけになった農民反乱を何と言うか,黄巾の乱
116,古代中国と南北アメリカ,前漢の歴史家で将軍李陵を弁護したために武帝により宮刑に処せられたのは誰か,司馬遷
117,古代中国と南北アメリカ,4世紀から9世紀頃にかけて中央アメリカのユカタン半島に栄えた文明を何と言うか,マヤ文明
118,古代中国と南北アメリカ,15世紀後半にエクアドルからチリに形成された広大な大帝国を何と言うか,インカ帝国
119,古代中国と南北アメリカ,インカ帝国の人は文字の代わりに縄の結び方で記録を残したがこれを何と言うか,キープ
120,内陸アジア,漢の高祖を包囲した匈奴の王は誰か,冒頓単于
121,内陸アジア,五胡の一つで中国の河北を統一した遊牧民は何か,鮮卑
122,内陸アジア,中央アジアの草原地帯を本拠地とするトルコ民族が6世紀にモンゴル高原に建てた国を何というか,突厥
123,内陸アジア,8世紀半ばに東突厥を滅ぼし9世紀にキルギスによって滅ぼされたトルコ系遊牧民は何か,ウイグル
124,内陸アジア,ソグディアナ地方のイラン系遊牧民を何と言うか,ソグド人
125,内陸アジア,モンゴル帝国の建設者は誰か,チンギス・ハン
126,内陸アジア,チンギス・ハンの第3子でモンゴル帝国第2代の皇帝になったのは誰か,オゴタイ・ハン
127,内陸アジア,チンギス・ハンの長男ジュチの子供でヨーロッパ遠征で活躍したのは誰か,バトゥ
128,内陸アジア,バトゥのヨーロッパ遠征軍が1241年ポーランドでドイツ・ポーランドの諸侯連合軍を壊滅させた戦いを何というか,ワールシュタットの戦い
129,内陸アジア,バトゥが西征の帰り道に南ロシアに建てた遊牧国家を何というか,キプチャク・ハン国
130,内陸アジア,イランを中心に建てた農耕的国家を何というか,イル・ハン国
131,内陸アジア,フビライの即位に反対したオゴタイの孫は誰か,ハイドゥ
132,内陸アジア,フビライ・ハンは中国経営に専心し1264年どこに都を定めたか,大都
133,内陸アジア,元がモンゴル人に次いで重く用いた中央アジア・西アジア出身者を何と言うか,色目人
134,内陸アジア,商業の利を重視したモンゴルは交通路の整備に努めたがその交通制度を何と言うか,駅伝制（ジャムチ）
135,内陸アジア,元では各駅にある馬や食料を利用するための旅行者用の証明書を発行したがこれを何と言うか,牌子
136,内陸アジア,元の主要な紙幣は何か,交鈔
137,内陸アジア,元の滅亡のきっかけとなった大農民反乱を何というか,紅巾の乱
138,内陸アジア,ローマ教皇ニコラウス4世の使節として1294年元の大都に行きカトリック教の布教に成功したのは誰か,モンテコルヴィノ
139,内陸アジア,モロッコ出身の大旅行家で30年間アフリカ・アラビア・ペルシア・インド・中国などを旅行し帰国後に旅行記（三大陸周遊記）を表したのは誰か,イブン・バトゥータ
140,内陸アジア,フビライ・ハンに用いられた郭守敬が1280年に作成した暦法を何と言うか,授時暦
141,内陸アジア,起源はアラム文字でチンギス・ハンがこの文字をもとにして作らせた文字をなんというか,ウイグル文字
142,内陸アジア,元代に特に発達した歌劇を何と言うか,元曲
143,内陸アジア,13世紀頃のタイでモンゴル人の雲南侵入に押されて南下したタイ人が作った王朝を何というか,スコータイ朝
144,内陸アジア,13世紀末ジャワで元軍の侵攻をきっかけに建てられた国は何か,マジャパヒト王国
145,イスラーム,メッカの大モスクの中央には黒色の建物があるその建物を何というか,カバ神殿
146,イスラーム,ムハンマドがメッカからメディナに移住した事件を何と言うか,ヒジュラ（聖遷）
147,イスラーム,イスラム教の聖典を何と言うか,クルアーン（コーラン）
148,イスラーム,アラビア語でムハンマドの後継者を何と言うか,カリフ
149,イスラーム,ムハンマドの娘婿で第4代のカリフは誰か,アリー
150,イスラーム,661年にシリアのダマスクスを都として成立したウマイヤ朝の初代カリフは誰か,ムアウィヤ
151,イスラーム,ウマイヤ朝がフランク王国に侵入して732年に大敗した戦いをなんというか,トゥール・ポワティエ間の戦い
152,イスラーム,イスラム教徒が信仰・生命・財産の保全を認めてもらう代わりに納めた人頭税を何と言うか,ジズヤ
153,イスラーム,イスラム世界で征服地の住民に課せられた土地に関する税をなんというか,ハラージュ
154,イスラーム,アッバース朝の最盛期の王でビザンツ帝国への親征などを行ったのは誰か,ハールーン・アッラシード
155,イスラーム,909年にチュニジアに建国され969年にエジプトを征服したシーア派の一派イスマイル派の王朝は何か,ファーティマ朝
156,イスラーム,946年にバグダードを占領しアッバース朝カリフの実権を奪った国を何か,ブワイフ朝
157,イスラーム,1055年ブワイフ朝を倒して西アジアの大半を制圧した国は何か,セルジューク朝
158,イスラーム,セルジューク朝の始祖であるトゥグリルーベクがカリフから受けた支配者を意味するイスラム世界最初の世俗君主の称号を何と言うか,スルタン
159,イスラーム,シーア派のファーティマ朝に続いてエジプト・シリアに成立したスンナ派の王朝を何と言うか,アイユーブ朝
160,イスラーム,ゴール朝の将軍が13世紀初めにデリーに自立して開いたインド最初のイスラム王朝は何か,奴隷王朝
161,イスラーム,紀元前8世紀に一時エジプトを滅ぼしたエジプトを除けば現在最も古いアフリカ人の国として知られるナイル川上流にできた国は何か,クシュ王国
162,イスラーム,現在のモーリタニア南東部を中心に8世紀以前に建てられた金の産地の黒人王国は何か,ガーナ王国
163,イスラーム,『歴史序説』を表したのは誰か,イブン・ハルドゥーン
164,イスラーム,アラビア文学の代表作でインド・イラン・アラビア・ギリシアなどを起源とする説話の集大成を何というか,千夜一夜物語
165,イスラーム,数学や天文学にも優れ極めて正確な太陽暦の作成に関わった『ルバイヤート』の作者は誰か,ウマル・ハイヤーム
166,イスラーム,イスラム教の礼拝堂を何と言うか,モスク
167,イスラーム,13世紀にナスル朝がグラナダに造営した宮殿は何か,アルハンブラ宮殿
168,イスラーム,ヒジュラの年号は何か,622年
169,イスラーム,ウマイヤ朝が成立した年号は何か,661年
170,イスラーム,アッバース朝が成立した年号は何か,750年
171,イスラーム,セルジューク朝がバグダードを制圧した年号は何か,1055年
172,イスラーム,奴隷王朝が成立した年号は何か,1206年
173,ヨーロッパ誕生,ゲルマン人の大移動後イベリア半島に建国したゲルマン部族を何と言うか,西ゴート人
174,ヨーロッパ誕生,ライン川東岸の原住地を保ちながらもガリア北部へ拡大しゲルマン国家の中で最強の国家を作った部族は何か,フランク人
175,ヨーロッパ誕生,カール・マルテルの子でフランクのカロリング朝を創始したのは誰か,ピピン3世
176,ヨーロッパ誕生,9世紀初期にフランク王国の領土が最大になった時の王は誰か,カール大帝
177,ヨーロッパ誕生,カール大帝に西ローマ帝国の冠を授けた教皇は誰か,レオ3世
178,ヨーロッパ誕生,962年北イタリアを制圧して教皇から皇帝の位を与えられたのは誰か,オットー1世
179,ヨーロッパ誕生,10世紀末の西フランク王国でカロリング朝の断絶後に位についたのは誰か,ユーグ・カペー
180,ヨーロッパ誕生,9世紀ロシアに来住したノルマン人によって建てられたロシアの国を何と言うか,ノヴゴロド国
181,ヨーロッパ誕生,10世紀初めにセーヌ川下流域にノルマン人の領地が建てられたがこの国を何と言うか,ノルマンディー公国
182,ヨーロッパ誕生,11世紀初めにイングランドに侵攻して支配したノルマンの王は誰か,クヌート
183,ヨーロッパ誕生,11世紀中頃イングランドを制圧したノルマン系の北フランスの領主は誰か,ノルマンディー公ウィリアム
184,ヨーロッパ誕生,12世紀ノルマン人が地中海方面に建国した国は何か,両シチリア王国
185,ヨーロッパ誕生,東方のギリシア正教会と分離し西洋キリスト教会の首座を占める教会組織を何と言うか,ローマ・カトリック教会
186,ヨーロッパ誕生,10世紀初めにフランスに設立されキリスト教会刷新運動の中心となった修道院を何と言うか,クリニー修道院
187,ヨーロッパ誕生,クリニー修道院で始まった改革運動の影響を受け聖職売買などを禁止し教皇権を強化しようとした教皇は誰か,グレゴリウス7世
188,ヨーロッパ誕生,グレゴリウス7世によって破門された神聖ローマ帝国の皇帝は誰か,ハインリヒ4世
189,ヨーロッパ誕生,皇帝の破門に対し教皇グレゴリウス7世に許しを求めた事件を何と言うか,カノッサの屈辱
190,ヨーロッパ誕生,13世紀教皇権が最も強大であった時の教皇は誰か,インノケンティウス3世
191,ヨーロッパ誕生,荘園内の耕地を3分割し3年に1回休耕地を置き地力を養った農業制度を何というか,三圃制
192,ヨーロッパ誕生,ビザンツ帝国が6世紀頃周辺のゲルマン国家を征服して大勢力になった時の皇帝は誰か,ユスティニアヌス大帝
193,ヨーロッパ誕生,ビザンツ帝国の属州行政組織・軍政を何と言うか,軍管区制（テマ制）
194,ヨーロッパ誕生,東西ローマ教会は対立を深め11世紀には完全に分裂したが東ローマ教会は何と言われるか,ギリシア正教会
195,ヨーロッパ誕生,ビザンツ帝国で皇帝が教会の最高首長を兼ね政教の両権を握ったことを何と言うか,皇帝教皇主義
196,ヨーロッパ誕生,ビザンツ帝国の首都コンスタンティノープルが十字軍によって一時占領されたのは第何回十字軍の時か,第4回十字軍
197,ヨーロッパ誕生,カールの大帝戴冠の年号は何か,800年
198,ヨーロッパ誕生,オットー1世が神聖ローマ皇帝の帝冠を教皇から授けられた年号は何か,962年
199,ヨーロッパ誕生,ヘイスティングズの戦いが起きた年号は何か,1066年
200,ヨーロッパ誕生,カノッサの屈辱が起きた年号は何か,1077年
201,ヨーロッパ誕生,クレルモン公会議が召集された年号は何か,1095年
202,中世ヨーロッパ,イスラム教徒に占領された聖地エルサレム回復のための戦いを起こすことを決めた会議とは何か,クレルモン宗教会議
203,中世ヨーロッパ,教皇権の絶対性を主張したが1303年にアナーニ事件でフランス国王であるフィリップ4世に捕らえられた教皇は誰か,ボニファティウス8世
204,中世ヨーロッパ,15世紀前半に起こった大分裂を解決し異端の審議をするために開かれた公会議を何というか,コンスタンツ公会議
205,中世ヨーロッパ,ノルマン朝断絶後フランスの領主がイギリスに開いた王朝は何か,プランタジネット朝
206,中世ヨーロッパ,プランタジネット朝のジョン王に反抗した貴族たちは後のイギリス憲法の基礎となる憲章を作らせたがこれを何と言うか,大憲章（マグナ・カルタ）
207,中世ヨーロッパ,教会領の課税問題で教皇と争い教皇を屈服させ教皇庁をアヴィニョンに移したフランス国王は誰か,フィリップ4世
208,中世ヨーロッパ,フィリップ4世が教皇との争いで国内の有力者の支持を得るために開いた会議を何と言うか,三部会
209,中世ヨーロッパ,カペー朝が断絶した後に成立したフランスの王朝を何と言うか,ヴァロワ朝
210,中世ヨーロッパ,成立後イギリスのエドワード3世がフランス王位継承権を主張したことで両国の間に始まった戦争を何と言うか,100年戦争
211,中世ヨーロッパ,100年戦争末期にフランス王を助けイギリス軍撃退に成功した少女は誰か,ジャンヌ・ダルク
