No,チャプター,質問,解答
212,中世ヨーロッパ,100年戦争後イギリスではランカスター家とヨーク家の両家による王位継承の内乱が起こったがこれを何と言うか,バラ戦争
213,中世ヨーロッパ,バラ戦争の後に成立したイギリスの王朝は何か,テューダー朝
214,中世ヨーロッパ,14世紀皇帝選出権を7人の有力な諸侯に認める勅書（金印勅書）を出した皇帝は誰か,カール4世
215,中世ヨーロッパ,15世紀中頃以降ドイツ皇帝はオーストリア王家によって占められていたがこの王家とは何か,ハプスブルク家
216,中世ヨーロッパ,イベリア半島をイスラム教徒の支配から解放しキリスト教徒の手にかえす運動を何と言うか,レコンキスタ（国土回復運動）
217,中世ヨーロッパ,キリスト教の教理・信仰研究する学問は何というか,神学
218,中世ヨーロッパ,11から12世紀に盛んになった教会の建築様式で厚い壁や半円状のアーチを使用したものを何というか,ロマネスク様式
219,中世ヨーロッパ,12世紀以降に盛んとなった尖頭アーチやステンドグラスが有名な教会の建築様式を何というか,ゴシック様式
220,中世ヨーロッパ,コンスタンツ公会議が召集された年号は何か,1414年
221,中世ヨーロッパ,プランタジネット朝が始まった年号は何か,1154年
222,中世ヨーロッパ,フランスでフィリップ4世によって三部会が初めて召集されたとされる年号は何か,1302年
223,中世ヨーロッパ,100年戦争が起きた年号は何か,1337年
224,中世ヨーロッパ,バラ戦争が起きた年号は何か,1455年
225,明と清,紀元前6世紀頃に南ロシアの草原地帯を支配した最初の遊牧国家を何と言うか,スキタイ
226,明と清,前2世紀より東アジアで最初の遊牧帝国を築き草原の道一帯を支配した部族を何と言うか,匈奴
227,明と清,地中海から紅海・ペルシア湾を通りアラビア海を渡ってインドに達しさらに東南アジアや中国に至る海上ルートを何と言うか,海の道
228,明と清,8世紀頃広州や泉州などに居留地を作ったイスラム教徒の商人を何と言うか,ムスリム商人
229,明と清,東シナ海交易圏と南シナ海交易圏の接点に位置し明への朝貢を活発に行いこれらの交易圏を結ぶ中継貿易によって繁栄した王国は何か,琉球王国
230,明と清,14世紀末にマレー半島南西部に成立しインド洋と南シナ海を結ぶ中継貿易によって繁栄した王国は何か,マラッカ王国
231,明と清,1368年に成立した漢民族の王朝を何というか,明
232,明と清,永楽帝の命で南海遠征を指揮した宦官は誰か,鄭和
233,明と清,13から16世紀に朝鮮・中国の沿岸で猛威を振るった海賊を何と言うか,倭寇
234,明と清,明は15世紀以降北からオイラトとタタールの侵入を受け南からは倭寇の侵入を受けたがこれらを合わせてなんというか,北虜南倭
235,明と清,明・清における農村の支配階級を何というか,郷紳
236,明と清,1371年明が中国人の海外への渡航を禁止したことを何と言うか,海禁政策
237,明と清,王陽明の儒学で「心即理」の立場から「知行合一」を説いたものを何と言うか,陽明学
238,明と清,顧炎武らが起こした文献を扱うのに実証を重視する学問を何というか,考証学
239,明と清,清朝第4代の皇帝で台湾を併合するなど清朝の中国支配を確立したのは誰か,康熙帝
240,明と清,父は明の武将・母は日本人で台湾を本拠地にして清に反抗したのは誰か,鄭成功
241,明と清,康熙帝がロシアのピョートル1世との間で清とロシアの間の国境を定めた条約を何というか,ネルチンスク条約
242,明と清,清朝第5代の皇帝で皇帝独裁体制を確立したのは誰か,雍正帝
243,明と清,清朝第6代の皇帝で大編纂事業を行い禁書などを強化したのは誰か,乾隆帝
244,明と清,康熙帝はモンゴル民族のオイラトの一部族を破ったがこの部族を何と言うか,ジュンガル
245,明と清,雍正帝が1732年に定めた軍事・行政上の最高機関を何と言うか,軍機処
246,明と清,清朝はモンゴル・新彊・チベット・青海に自治を任せていたがこれらを総称してなんというか,藩部
247,明と清,清朝は中央要職の定員を満州人と漢人から同数任命する方策をとったがこれを何というか,満漢併用制
248,明と清,康熙帝が一流の学者を集めて作らせた辞書を何というか,康熙字典
249,明と清,没落をたどる満州貴族の家庭を中心に描いた清代の長編小説を何と言うか,紅楼夢
250,明と清,イタリア出身のイエズス会宣教師で1582年マカオに上陸し中国布教に成功したのは誰か,マテオ・リッチ
251,明と清,イタリア出身のイエズス会宣教師で1715年北京に入り康熙・雍正・乾隆の3帝に仕えて絵を描き西洋画法を紹介したのは誰か,カスティリオーネ
252,明と清,イエズス会の中国での布教方法を巡って起こったカトリック諸派の論争を何というか,典礼問題
253,明と清,豪族出身の黎利が明の支配を退けてベトナムに建てた王朝を何と言うか,黎朝
254,明と清,14世紀から16世紀頃にかけてマラッカを中心に海上貿易で栄えた東南アジアの国を何というか,マラッカ王国
255,明と清,朝鮮半島では1392年高麗に次ぐ朝鮮最後の王朝李氏朝鮮が成立したがこの王朝の建国者は誰か,李成桂
256,明と清,明の初期頃には3つの勢力に分かれていたが15世紀初めに統一された沖縄を代表した国王は誰か,尚巴志
257,明と清,明の倭寇対策で正式の貿易船であることを証明するために交易諸国に勘合を与えたがこの勘合による貿易を何と言うか,勘合貿易
258,明と清,明王朝が滅亡した年号は何か,1644年
259,明と清,李氏朝鮮が成立した年号は何か,1392年
260,明と清,永楽帝が都を北京とした年号は何か,1421年
261,明と清,ネルチンスク条約が結ばれた年号は何か,1689年
262,明と清,マラッカ王国がアルブケルケらによって滅ぼされた年号は何か,1511年
263,オスマン帝国とムガル帝国,14世紀中頃の中央アジアは分裂状態となったがそれを再び統一して大帝国を建てたのは誰か,ティムール
264,オスマン帝国とムガル帝国,14世紀以降の中央アジアの商業・学芸の中心として栄えたティムール朝の都はどこか,サマルカンド
265,オスマン帝国とムガル帝国,ティムールが小アジアを攻めオスマン帝国の軍隊を1402年に破った戦いを何と言うか,アンカラの戦い
266,オスマン帝国とムガル帝国,オスマン帝国の第9代スルタンでシリア・エジプトを併合してメッカ・メディナの保護権を得たのは誰か,セリム1世
267,オスマン帝国とムガル帝国,オスマン帝国が最盛期を迎えた第10代のスルタンは誰か,スレイマン1世
268,オスマン帝国とムガル帝国,スレイマン1世が1535年にオーストリアとの対抗上フランス商人に領内での居住・通商の自由を認めたことを何と言うか,カピチュレーション
269,オスマン帝国とムガル帝国,オスマン帝国軍が1571年にスペイン・ヴェネツィアの連合軍と海戦を行い敗れた戦いをなんというか,レパントの海戦
270,オスマン帝国とムガル帝国,オスマン帝国では常備軍の一つとしてキリスト教徒の少年を改宗させて歩兵集団を作ったがこれを何と言うか,イェニチェリ
271,オスマン帝国とムガル帝国,ティムール朝衰退後のイランで神秘主義教団の長が1501年武装した信者を率いて開いた王朝は何か,サファヴィー朝
272,オスマン帝国とムガル帝国,サファヴィー朝でオスマン帝国から一部領土を取り返し最盛期を招いた第5代の王は誰か,アッバース1世
273,オスマン帝国とムガル帝国,ムガル帝国の第3代皇帝は誰か,アクバル
274,オスマン帝国とムガル帝国,アクバルが1564年ヒンドゥー教徒に行った優遇策は何か,ジズヤの廃止
275,オスマン帝国とムガル帝国,治世の大半を外征に費やし帝国の領土を最大にしたムガル帝国第6代の皇帝は誰か,アウラングゼーブ
276,オスマン帝国とムガル帝国,シク教の創始者は誰か,ナーナク
277,オスマン帝国とムガル帝国,ムガル帝国第5代皇帝（シャー・ジャハーン）がアグラに建てた陵墓を何というか,タージ・マハル
278,オスマン帝国とムガル帝国,オスマン帝国が建国した年号は何か,1299年
279,オスマン帝国とムガル帝国,オスマン帝国が滅亡した年号は何か,1922年
280,オスマン帝国とムガル帝国,ニコポリスの戦いの年号は何か,1396年
281,オスマン帝国とムガル帝国,メフメト2世がコンスタンティノープルの攻略に成功してビザンツ帝国を滅ぼした年号は何か,1453年
282,オスマン帝国とムガル帝国,パーニーパットの戦いの年号は何か,1526年
283,ヨーロッパの拡大とルネサンス,インドやスマトラの代表的な香辛料は何か,胡椒
284,ヨーロッパの拡大とルネサンス,アフリカ西岸の探検を奨励したポルトガル王子は誰か,エンリケ航海王子
285,ヨーロッパの拡大とルネサンス,喜望峰を回りインド西南の地に到達しアジアとの新航路を開拓したポルトガルの航海者は誰か,ヴァスコ・ダ・ガマ
286,ヨーロッパの拡大とルネサンス,16世紀初期ポルトガルが植民地としたインド西岸の都市はどこか,ゴア
287,ヨーロッパの拡大とルネサンス,16世紀初期ポルトガルが東方経営の拠点として征服したマレー半島南西部のイスラム王国を何というか,マラッカ王国
288,ヨーロッパの拡大とルネサンス,スペインから西側に航海してインド到達を企てアメリカ大陸の一部に到達したイタリアの航海者は誰か,コロンブス
289,ヨーロッパの拡大とルネサンス,コロンブスが最初の航海で発見したカリブ海東部の島々を何というか,西インド諸島
290,ヨーロッパの拡大とルネサンス,1494年ポルトガルとスペインの勢力境界線を設定した条約を何というか,トルデシリャス条約
291,ヨーロッパの拡大とルネサンス,ブラジルに漂着してここをポルトガル領とした人物は誰か,カブラル
292,ヨーロッパの拡大とルネサンス,スペイン王の命令で西方への大航海を企て南アメリカ南端の海峡を通過してアジアに到達したポルトガルの航海者は誰か,マゼラン
293,ヨーロッパの拡大とルネサンス,アステカ文明を破壊したスペインの征服者は誰か,コルテス
294,ヨーロッパの拡大とルネサンス,インカ文明を破壊したスペインの征服者は誰か,ピサロ
295,ヨーロッパの拡大とルネサンス,インディアンの強制労働により開発された新大陸最大の銀山を何と言うか,ポトシ銀山
296,ヨーロッパの拡大とルネサンス,新航路・新大陸の発見で東方貿易が衰え商業の中心が地中海から大西洋に移動したという変化を経済上何と言うか,商業革命
297,ヨーロッパの拡大とルネサンス,メキシコやペルーからの銀がヨーロッパに流出し物価が高騰した経済現象を何と言うか,価格革命
298,ヨーロッパの拡大とルネサンス,14世紀ごろイタリアに始まり後にヨーロッパ各地に展開された古典古代の学芸の復興や人間性の解放を目指す文化活動を何と言うか,ルネサンス
299,ヨーロッパの拡大とルネサンス,フィレンツェに生まれイタリア・ルネサンスの先駆者となった文学者は誰か,ダンテ
300,ヨーロッパの拡大とルネサンス,ダンテがトスカナ地方の口語で書いた大叙事詩は何か,神曲
301,ヨーロッパの拡大とルネサンス,文芸を保護し振興したフィレンツェの大富豪は誰か,ロレンツォ・デ・メディチ
302,ヨーロッパの拡大とルネサンス,16世紀フィレンツェの政治学者・歴史家で外交使節としても活躍し『君主論』を表したのは誰か,マキアヴェリ
303,ヨーロッパの拡大とルネサンス,『春』『ヴィーナスの誕生』『東方三博士の礼拝』などで有名な画家は誰か,ボッティチェリ
304,ヨーロッパの拡大とルネサンス,ルネサンス期に『最後の晩餐』『モナ・リザ』などの数々の名作を残した巨匠は誰か,レオナルド・ダ・ヴィンチ
305,ヨーロッパの拡大とルネサンス,16世紀の最高の学識者と言われ『愚神礼賛』を表したネーデルランドの人文主義者は誰か,エラスムス
306,ヨーロッパの拡大とルネサンス,レパントの海戦で負傷し左手を失った『ドン・キホーテ』の作者でもあるスペインの代表的作家は誰か,セルバンテス
307,ヨーロッパの拡大とルネサンス,トマス・モアが表した架空の理想国を描いて社会の世俗的風潮を批判したものは何か,ユートピア
308,ヨーロッパの拡大とルネサンス,『ハムレット』『マクベス』などで有名なイギリス・ルネサンスの代表的な劇作家は誰か,シェイクスピア
309,ヨーロッパの拡大とルネサンス,15世紀中頃活版印刷術を発明したドイツ人は誰か,グーテンベルク
310,ヨーロッパの拡大とルネサンス,地動説を唱え『天体の回転について』を表したポーランドの天文学者は誰か,コペルニクス
311,ヨーロッパの拡大とルネサンス,コロンブスがバハマ諸島に到達した年号は何か,1492年
312,ヨーロッパの拡大とルネサンス,アステカ帝国が滅亡した年号は何か,1521年
313,ヨーロッパの拡大とルネサンス,インカ帝国が滅亡した年号は何か,1533年
314,ヨーロッパの拡大とルネサンス,教皇子午線が取り決められた年号は何か,1493年
315,ヨーロッパの拡大とルネサンス,バルボアがパナマ地峡を横断して太平洋に到達した年号は何か,1513年
316,宗教改革,「95か条の論題」で教皇の贖宥状の販売に反対しドイツの宗教改革を始めた神学者は誰か,マルティン・ルター
317,宗教改革,ルターを召喚して教義の撤回を求めヴォルムス帝国議会を開いたドイツの皇帝は誰か,カール5世
318,宗教改革,トマス・ミュンツァーが指導し農奴制による負担の廃止を求めて起こった南ドイツの大規模な農民反乱を何と言うか,ドイツ農民戦争
319,宗教改革,イタリア支配を巡るドイツ・フランス・スペイン国王の16世紀前半の抗争を何と言うか,イタリア戦争
320,宗教改革,カール5世がオスマン帝国の攻撃を受け諸侯の協力を得るために一時ルター派を黙認したが1529年に再び禁止したことに抗議した人々を何と言うか,プロテスタント
321,宗教改革,ルター派の諸侯や都市の信仰を認めた帝国議会の和議を何というか,アウクスブルクの宗教和議
322,宗教改革,フランスで生まれスイスで宗教改革運動を起こして新しい教会制度を組織し厳格な規律によって神政政治を行った『キリスト教綱要』の著者は誰か,カルヴァン
323,宗教改革,自身の離婚問題によりカトリック教会から離れたイギリス国王は誰か,ヘンリー8世
324,宗教改革,メアリー1世の死後再び国教会に戻りイギリス絶対王政の最盛期を築いた国王は誰か,エリザベス1世
325,宗教改革,国教会の礼拝や祈祷を統一する法律を何と言うか,統一法
326,宗教改革,いわゆる新教に対抗する旧教側の内部の刷新や海外伝道などの運動を何と言うか,対抗宗教改革
327,宗教改革,対抗宗教改革運動の一つとして設立されたもので厳格な組織のもとで異邦伝道に功績のあった修道会は何か,イエズス会
328,宗教改革,宗教の教義の確認や内部改革・異端判決などを決め旧教の立て直しを図った会議を何というか,トリエント公会議
329,宗教改革,絶対王政を正当化する政治理論を何というか,王権神授説
330,宗教改革,資本主義初期の工場制度で資本の元で分業と協業により生産が行われる経営の方法を何と言うか,マニファクチュア（工場制手工業）
331,宗教改革,ネーデルランドやアメリカ大陸植民地など広大な領土を支配し「日の沈まない帝国」を形成したスペイン国王は誰か,フェリペ2世
332,宗教改革,オランダ独立運動の指導者で独立後の初代総督となった新教徒の貴族は誰か,オラニエ公ウィレム
333,宗教改革,17世紀ヨーロッパの商業・金融の中心として栄えたネーデルランド北部の都市はどこか,アムステルダム
334,宗教改革,15世紀末に成立しイギリス絶対王政を確立した王朝を何と言うか,テューダー朝
335,宗教改革,15世紀末から17世紀中頃イギリスで開放耕地や共同地を囲い込み牧場として利用することが盛んとなったがこれを何と言うか,第1次囲い込み（エンクロージャー）
336,宗教改革,エリザベス1世の治制中にアジアでの独占的な貿易と植民地経営を行う特権的会社が設立されたがこれを何と言うか,イギリス東インド会社
337,宗教改革,16世紀後半フランスにおける新旧両教派の戦いを何と言うか,ユグノー戦争
338,宗教改革,ユグノー戦争を終結させたフランス国王は誰か,アンリ4世
339,宗教改革,アンリ4世が出した新教徒に大幅な信仰の自由を許可する勅令を何と言うか,ナントの勅令
340,宗教改革,ルイ13世を補佐し30年戦争に介入した宰相は誰か,リシュリュー
341,宗教改革,1618年にドイツで新旧両派諸侯の内乱から始まり列国の介入を許して長期にわたりウェストファリア条約で終結した戦争を何と言うか,30年戦争
342,宗教改革,ヴォルムス帝国議会が開催された年号は何か,1521年
343,宗教改革,エリザベス1世によって統一法が出された年号は何か,1559年
344,宗教改革,トリエント公会議が開かれた年号は何か,1545年
345,宗教改革,ナントの勅令が出された年号は何か,1598年
346,宗教改革,オランダ独立戦争が始まった年号は何か,1568年
347,重商主義,イギリス絶対王政を支えた地主・大商人らで囲い込み運動や毛織物生産などを行った下級貴族階層を何と言うか,ジェントリ（郷紳）
348,重商主義,テューダー朝断絶後に成立した王朝を何と言うか,ステュアート朝
349,重商主義,高圧的な政治姿勢を取り議会と対立しピューリタン革命で処刑された国王は誰か,チャールズ1世
350,重商主義,スコットランドの反乱において議会派軍を指導した人物は誰か,クロムウェル
351,重商主義,クロムウェルが制定した商品の輸入を英国船と原産地の船に限定する法律を何と言うか,航海法
352,重商主義,共和制時代にクロムウェルが就任した独裁的な政治・軍事の最高官職を何と言うか,護国卿
353,重商主義,1660年のイギリスの王政復古の時に即位した国王は誰か,チャールズ2世
354,重商主義,チャールズ2世がカトリックを擁護したことなどに対して議会が決定施行した公職を国教徒に限定する法律を何と言うか,審査法
355,重商主義,議会が決定施行した不法な逮捕・裁判を禁じた法律を何と言うか,人身保護法
356,重商主義,ジェームズ2世が専制的な政治を行ったことにより議会が王の娘夫婦を招きジェームズ2世は亡命した事件を何というか,名誉革命
357,重商主義,名誉革命後に議会によって出された古くから認められたイギリス国民の権利と自由を確認する宣言を何というか,権利の宣言（権利の承認）
358,重商主義,ステュアート朝断絶後に成立したイギリス王朝は何か,ハノーヴァー朝
359,重商主義,ステュアート朝断絶後イギリスの王となったステュアート朝の血縁を引くドイツの貴族は誰か,ジョージ1世
360,重商主義,18世紀前半に始まった責任内閣制を始めた政治家は誰か,ウォルポール
361,重商主義,17世紀から18世紀にかけてフランス絶対王政の最盛期を演出した国王は誰か,ルイ14世
362,重商主義,ルイ14世に仕えフランス重商主義を確立したのは誰か,コルベール
363,重商主義,18世紀初期ある国の王位継承問題で起こした戦争を何というか,スペイン継承戦争
364,重商主義,スペイン継承戦争の講和条約の名称は何というか,ユトレヒト条約
365,重商主義,官僚制を整えて富国強兵に努めプロイセンをヨーロッパの強国とした18世紀半ばの国王は誰か,フリードリヒ2世
366,重商主義,オーストリアでカール6世の死後に即位した女帝は誰か,マリア・テレジア
367,重商主義,オーストリア継承戦争においてプロイセンはオーストリアからどの領土を奪ったか,シュレジエン
368,重商主義,プロイセンに対する報復のためオーストリアが起こした戦争を何というか,7年戦争
369,重商主義,領主的大農場経営により経済力をつけ地方政治・軍人・官僚の中核となったプロイセンの地主階級は何か,ユンカー
370,重商主義,キプチャク・ハン国の衰退に乗じて15世紀末に独立したロシアのモスクワ大公国の君主が名乗った称号を何というか,ツァーリ
371,重商主義,軍政・財政改革や商工業を奨励しロシアの西洋化に努めた皇帝は誰か,ピョートル1世
372,重商主義,ピョートル1世が中国と結んだ国境線確定の条約を何と言うか,ネルチンスク条約
373,重商主義,バルト海進出を目指しロシアがスウェーデンと行った戦いを何というか,北方戦争
374,重商主義,政治改革を進めロシアの対外進出に積極的であった啓蒙専制君主は誰か,エカチェリーナ2世
375,重商主義,18世紀末ポーランドはヨーロッパ諸国により分割されて消滅したがこのポーランド分割に反対して戦ったポーランド人の指導者は誰か,コシチュシコ
376,重商主義,ピューリタン革命における武力衝突が起きた年号は何か,1642年
377,重商主義,名誉革命が起きた年号は何か,1688年
378,重商主義,7年戦争が始まった年号は何か,1756年
379,重商主義,ユトレヒト条約が結ばれた年号は何か,1713年
380,重商主義,第1回ポーランド分割が起きた年号は何か,1772年
381,ヨーロッパ拡張,オランダの東インド総督が駐在したジャワ島の北西岸の港市をなんというか,バタヴィア
382,ヨーロッパ拡張,17世紀初期東南アジアでオランダとイギリスが対立した結果イギリスが東南アジアから撤退しインド方面に進出を強めることになった事件を何というか,アンボイナ事件
383,ヨーロッパ拡張,北アメリカのミシシッピ川中流域に設立されたフランスの植民地を何と言うか,ルイジアナ
384,ヨーロッパ拡張,7年戦争の時インドの支配を巡って英仏が争った際イギリスの勝利を確定した戦いを何というか,プラッシーの戦い
385,ヨーロッパ拡張,7年戦争中に英仏の北アメリカでの戦いのイギリス側の優勢を決定した条約を何というか,パリ条約
386,ヨーロッパ拡張,17世紀頃のヨーロッパ・アメリカ植民地・アフリカを結ぶ交易関係を何というか,三角貿易
387,ヨーロッパ拡張,新大陸やカリブ海諸島などで行われた黒人奴隷や先住民を役使した大農場を何と言うか,プランテーション
388,ヨーロッパ拡張,万有引力の法則を発見し微積分法を創始したイギリスの科学者は誰か,ニュートン
389,ヨーロッパ拡張,種痘法を発明し近代予防医学の先駆者となったイギリスの医学者は誰か,ジェナー
390,ヨーロッパ拡張,『ノヴム・オルガヌム』を表し観察と実験を通して真の知識の確立に努めたイギリスの哲学者は誰か,フランシス・ベーコン
391,ヨーロッパ拡張,認識の根拠を理性におき論理的な思考により真理に到達しようとする哲学の立場を何と言うか,合理論
392,ヨーロッパ拡張,近代合理主義哲学の祖とされ数学者でもあった哲学者は誰か,デカルト
393,ヨーロッパ拡張,イギリスの経験論と大陸の合理論を批判的に総合し認識能力の可能性や限界を明らかにしたドイツの哲学者は誰か,カント
394,ヨーロッパ拡張,『王権神授説』を説いたフランスの聖職者は誰か,ボシュエ
395,ヨーロッパ拡張,実際に行われる法のうえに人間社会の根本原理となる規範や法があると考える思想を何というか,自然法思想
396,ヨーロッパ拡張,自然法思想に立ち社会や国家は人民相互の契約によって成立したとする政治学説を何というか,社会契約説
397,ヨーロッパ拡張,機械論的世界観に立ち運動を唯一の実在とし人間界にも自然と同様の原則が支配すると考えた『リヴァイアサン』の著者のイギリスの哲学者は誰か,ホッブズ
398,ヨーロッパ拡張,社会契約説に立ち名誉革命を理論的に正当化したイギリスの哲学者は誰か,ジョン・ロック
399,ヨーロッパ拡張,人間の理性を絶対的に信頼して不合理な制度・習慣・風俗を批判する思想や立場を何と言うか,啓蒙思想
400,ヨーロッパ拡張,諸国の法制度を研究し三権分立を説いた『法の精神』の著者のフランスの法学者は誰か,モンテスキュー
401,ヨーロッパ拡張,『社会契約論』を表し自由・平等・人民主権を唱え文明社会の堕落に鋭い批判を向けたフランスの思想家は誰か,ルソー
402,ヨーロッパ拡張,国家や社会の富の源泉を生産に求め生産の基礎として農業を置きその自由な経済活動を主張した経済思想を何と言うか,重農主義
403,ヨーロッパ拡張,重農主義を唱えたフランスの代表的思想家は誰か,ケネー
404,ヨーロッパ拡張,『国富論』を表し重商主義を批判して個人の自由な経済活動を主張した人物は誰か,アダム・スミス
405,ヨーロッパ拡張,ヴェルサイユ宮殿に代表される美術や建築の様式を何というか,バロック様式
406,ヨーロッパ拡張,ルイ14世が完成させた豪華絢爛な宮殿は何か,ヴェルサイユ宮殿
407,ヨーロッパ拡張,写実的手法で明暗や色調の対比に優れ近代油絵技法を完成させたオランダ画派の代表的人物誰か,レンブラント
408,ヨーロッパ拡張,フリードリヒ2世が建てたロココ様式の建築物は何か,サン・スーシ宮殿
409,ヨーロッパ拡張,宗教音楽に名曲を残しオルガン奏者としても有名なドイツの音楽家は誰か,バッハ
410,ヨーロッパ拡張,イギリスの東インド会社が設立された年号は何か,1600年
411,ヨーロッパ拡張,オランダが台湾にゼーランディア城を建設した年号は何か,1624年
412,ヨーロッパ拡張,クロムウェルが航海法を出した年号は何か,1651年
413,ヨーロッパ拡張,アンボイナ事件が起きた年号は何か,1623年
414,ヨーロッパ拡張,プラッシーの戦いが起きた年号は何か,1757年
415,近代の形成,18世紀の毛織物工業に代わりイギリスの中心的工業となったのは何か,木綿工業（綿織物工業）
416,近代の形成,力織機を発明したのは誰か,カートライト
417,近代の形成,資本主義制度の形成によって生まれた階級で賃金をもらって生活する階級を何というか,労働者階級
418,近代の形成,産業革命の結果ランカシャー最大の綿工業都市となったのはどこか,マンチェスター
419,近代の形成,イングランド中部で製鉄・機械工業で有名な都市はどこか,バーミンガム
420,近代の形成,17世紀初めにイギリスのピューリタンの集団が移住して以来開拓されたアメリカ東北部の海岸地域を何と言うか,ニューイングランド
421,近代の形成,印紙法に反対した人々が反論の根拠として掲げた有名な語句は何か,代表なくして課税なし
422,近代の形成,東インド会社に茶の輸入と販売権を独占的に与える法律を何というか,茶法
423,近代の形成,茶法に反対する植民地の急進派が東インド会社の船を襲い積荷の茶を海中に投じた事件を何というか,ボストン茶会事件
424,近代の形成,アメリカ独立戦争の植民地軍の最高司令官は誰か,ワシントン
